reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.01,0
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.025,0
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.05,0
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.1,1.813975808
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.15,3.318428743
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.2,4.514120243
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.25,5.539917084
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.3,6.461114351
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.35,7.314740905
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.4,8.124749028
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.45,8.908441261
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.5,9.67970835
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.55,10.45097544
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.6,11.23466767
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.65,12.0446758
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.7,12.89830235
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.75,13.81949962
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.8,14.84529646
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.85,16.04098796
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.9,17.54544089
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.95,19.77526677
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.975,21.70930818
6/6/2026,wk inc covid hosp,0,6/6/2026,45,quantile,0.99,23.95804928
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.01,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.025,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.05,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.1,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.15,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.2,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.25,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.3,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.35,0
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.4,1.009369063
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.45,5.043571282
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.5,9.013812748
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.55,12.98405421
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.6,17.01825643
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.65,21.18792461
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.7,25.58212681
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.75,30.32416189
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.8,35.60464282
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.85,41.75968825
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.9,49.50414087
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.95,60.98258627
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.975,70.93842583
6/6/2026,wk inc covid hosp,1,6/13/2026,45,quantile,0.99,82.51424089
6/6/2026,wk inc covid hosp,2,6/20/2026,45,quantile,0.01,0
6/6/2026,wk inc covid hosp,2,6/20/2026,45,quantile,0.025,0
6/6/2026,wk inc covid hosp,2,6/20/2026,45,quantile,0.05,0
